s%43.08307474; -79.08268559
s%35.6038368; -77.36875598
g%40.77654605; -73.49103094
s%30.58484837; -97.98440639
s%45.56894754; -111.12431365
s%55.6461876; 12.55006151
s%29.0144804; -98.5780568
g%37.39884481; -120.84824723
p%33.56221217; -112.18396511
s%40.84087782; -74.27762343
p%42.343525; -71.148462
s%39.64107959; -104.88360197
s%40.80040998; -73.96621448
s%-33.90393751; 151.20127218
s%35.60382402; -77.3689569
p%42.5550791; -71.2902325
s%38.3169906; -122.30417446
g%40.61555643; -75.35782937
s%53.5511897; 9.94518677
s%33.834484; -118.309769
p%42.3729965; -83.0537314
g%34.08746849; -118.3255645
s%51.12266099; -114.24303288
s%46.01324451; 8.94887113
s%18.8391825; -97.0987582
s%55.03379821; -1.6303218
s%39.906852; -86.044667
s%36.187818; -119.823878
s%33.803361; -117.82762986
p%42.00898873; -88.09814077
s%32.78635096; -96.78549034
s%42.32890874; -83.25668329
g%34.46474978; -118.548943
g%40.86649; -73.92214435
s%35.99460016; -115.09736018
g%51.44286765; -0.4171496
s%40.92919501; -73.78983432
p%-36.00352281; 146.02954536
s%39.77818436; -86.14791841
p%50.7304217; -3.5454289
s%36.63254857; -119.44473265
s%35.7625908; -78.7457555
s%39.77891372; -86.15630295
p%55.63522188; 12.62771596
s%42.82498426; -78.62158329
s%42.82428643; -78.62132421
s%37.57626173; -122.38737521
s%34.0906154; -118.37017343
s%0.0; 0.0
p%41.85224705; -70.75978937
s%44.6415636; 10.90377025
s%0.0; 0.0
s%51.49919739; -3.17844889
g%48.85883039; 2.32062589
s%55.68302867; 12.53070711
s%53.81618005; -1.62260746
s%51.42150733; -0.96838281
s%53.79404726; -2.67690147
s%32.83518467; -97.02131979
g%45.64986057; -122.65831666
g%60.69142772; 17.09775221
s%45.64895021; -122.62978208
s%51.920502; -0.677536
s%-37.81336322; 144.96195878
s%48.8794058; 2.43028232
s%39.04494033; -84.55998212
g%26.00893496; -80.32358218
p%28.13271946; -82.69066491
p%41.03127018; -73.71511383
s%40.47260568; -3.86487437
s%40.10597677; -85.64341987
g%40.68199603; -73.67690315
s%40.96815374; -82.60547706
s%33.94067417; -118.15526017
p%49.1400329; -122.31051683
p%39.75275834; -86.15343316
s%51.28558526; 5.74800957
s%53.52548863; -2.54200584
s%47.0481373; -122.8976912
s%55.11024845; -1.67164143
s%39.63748888; -79.95623758
p%37.6072509; -97.2966752
s%38.7793012; -90.5081935
s%55.63719362; 37.52860146
s%20.96594744; -89.6793015
s%34.17801897; -118.23458667
s%51.54275; -1.89064
g%28.5927365; -81.7480792
s%33.65159746; -95.90769459
s%51.54275; -1.89064
g%28.5927365; -81.7480792
s%51.51263589; -3.34278488
s%43.68332505; -72.28390217
s%34.04160351; -118.429044
p%27.90414326; -82.29612029
s%59.62862756; 16.55367158
p%35.74760252; -95.34623136
s%59.3416234; 5.27526056
s%35.4124733; -94.6877791
s%48.9903243; 2.5850981
s%20.96594744; -89.6793015
p%51.0319128; -2.5643985
p%55.66357402; 12.61394725
g%33.755805; -84.416984
s%53.81516772; -1.6111068
s%46.7676669; 17.29889375
s%52.40714259; -1.51618449
s%53.82195544; -1.61247664
s%46.16472703; 8.79818338
s%59.26912742; 15.20519507
p%53.63638821; -1.84736107
s%41.5052771; -87.3545734
s%46.7676669; 17.29889375
s%50.79238003; -1.0565364
g%40.79796; -73.9218
s%59.96183358; 17.70765291
s%37.09516531; -3.39773392
p%53.33750621; -6.22532716
s%43.27317874; 1.1720868
s%45.45179434; 9.18899135
s%36.74560624; -3.90566295
s%45.53038645; 11.00882607
p%55.66356797; 12.6140058
s%19.34578477; -99.13224102
s%50.97314664; 5.54526692
s%39.71575018; -86.29488504
s%48.15997587; 11.75445638
s%44.03183973; 8.10821072
s%45.2233902; 10.4121904
s%44.03185058; 8.10833583
s%52.92222759; -1.20950726
g%53.66396469; -2.67354723
g%40.6860104; -73.93486525
s%48.0132279; 14.4066978
s%53.23053157; -0.52383233
g%38.12326777; -85.68019879
s%52.73646318; -1.15013114
s%33.77353849; -117.91379717
s%-27.5101436; 152.9639336
g%27.98009121; -82.49938829
s%52.54718833; 0.08506483
g%53.53477769; -2.57210891
